Date,AMZN-Close/Last,AMZN-Volume,AMZN-Open,AMZN-High,AMZN-Low,AAL-Close/Last,AAL-Volume,AAL-Open,AAL-High,AAL-Low,MAR-Close/Last,MAR-Volume,MAR-Open,MAR-High,MAR-Low,NFLX-Close/Last,NFLX-Volume,NFLX-Open,NFLX-High,NFLX-Low
05/14/2020,2388.85,3648128,2361.01,2391.37,2353.21,9.15,72320520,8.77,9.19,8.25,79.25,5425359,73,79.28,71.52,441.95,9007467,444.9,452.38,432.82
05/13/2020,2367.92,4782919,2366.8,2407.7,2337.805,9.11,68704640,9.52,9.53,8.83,75.26,4880565,79.0648,79.3168,74.57,438.27,7014563,435.69,447,427.27
05/12/2020,2356.95,3074916,2411.85,2418.9999,2355,9.65,46833140,10.01,10.2,9.6,79.33,3605479,82.96,83.88,79.27,431.82,4598211,442,444.17,431.36
05/11/2020,2409,3259231,2374.7,2419.665,2372.11,10.1,48705950,9.92,10.25,9.59,82.31,6832659,84.3,84.75,81.51,440.52,5486037,436.33,444.8899,435.56
05/08/2020,2379.61,3211228,2372.14,2387.2449,2357,10.14,59649750,9.78,10.15,9.68,87.17,4269552,88.08,88.5,85.65,435.55,5054308,434.14,442,433.6389
05/07/2020,2367.61,3396411,2374.78,2376,2343.11,9.54,61817000,9.3,9.8,9.29,85.98,4036189,83.35,86.95,83.05,436.53,5650281,436.89,438.88,430.66
05/06/2020,2351.26,3117814,2329.44,2357.45,2320,9.25,68990970,9.58,9.73,9.09,81.11,3013128,84.32,84.93,80.87,434.26,6660737,429.3,439.77,426.385
05/05/2020,2317.8,3242496,2340,2351,2307.1251,9.51,86943950,10.26,10.38,9.5,83.66,3458185,85.12,87.07,83.07,424.68,6286293,427.555,431,421.56
05/04/2020,2315.99,4865926,2256.38,2326.98,2256.38,9.82,125580000,9.41,10.17,9.15,82.58,4087134,81.79,85.6,80.41,428.15,7799058,417.78,428.54,414.87
05/01/2020,2286.04,9772605,2336.8,2362.44,2258.1901,10.64,99441400,11.41,11.66,10.58,84.75,4234307,87.09,88.48,84.23,415.27,8299858,415.1,427.97,411.73
